ID,FromStationName,ToStationName
SEA00201,2nd Ave & Vine St,Pine St & 9th Ave
SEA00102,15th Ave NE & NE 40th St,UW Intramural Activities Building
SEA00304,REI / Yale Ave N & John St,12th Ave & NE Campus Pkwy
SEA00042,Burke Museum / E Stevens Way NE & Memorial Way NE,15th Ave NE & NE 40th St
SEA00055,Dexter Ave N & Aloha St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
SEA00493,Dexter Ave N & Aloha St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
SEA00098,Broadway and E Denny Way,Cal Anderson Park / 11th Ave & Pine St
SEA00117,Westlake Ave & 6th Ave,Key Arena / 1st Ave N & Harrison St
SEA00023,9th Ave N & Mercer St,Westlake Ave & 6th Ave
SEA00272,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Key Arena / 1st Ave N & Harrison St
SEA00228,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00092,3rd Ave & Broad St,Pier 69 / Alaskan Way & Clay St
SEA00284,3rd Ave & Broad St,Occidental Park / Occidental Ave S & S Washington St
SEA00106,3rd Ave & Broad St,Pier 69 / Alaskan Way & Clay St
SEA00433,City Hall / 4th Ave & James St,REI / Yale Ave N & John St
SEA00097,9th Ave N & Mercer St,REI / Yale Ave N & John St
SEA00374,9th Ave N & Mercer St,Westlake Ave & 6th Ave
SEA00456,9th Ave N & Mercer St,Westlake Ave & 6th Ave
SEA00182,6th Ave S & S King St,6th Ave S & S King St
SEA00365,3rd Ave & Broad St,3rd Ave & Broad St
SEA00372,3rd Ave & Broad St,3rd Ave & Broad St
SEA00178,City Hall / 4th Ave & James St,12th Ave & NE Campus Pkwy
SEA00081,Pine St & 9th Ave,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
SEA00092,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St
SEA00157,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St
SEA00394,Broadway and E Denny Way,E Pine St & 16th Ave
SEA00182,6th Ave S & S King St,2nd Ave & Spring St
SEA00198,Thomas St & 5th Ave N,Thomas St & 5th Ave N
SEA00099,Thomas St & 5th Ave N,Thomas St & 5th Ave N
SEA00021,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St
SEA00106,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St
SEA00087,2nd Ave & Vine St,Pine St & 9th Ave
SEA00089,1st Ave & Marion St,1st Ave & Marion St
SEA00483,3rd Ave & Broad St,2nd Ave & Spring St
SEA00391,Occidental Park / Occidental Ave S & S Washington St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00398,2nd Ave & Spring St,Pier 69 / Alaskan Way & Clay St
SEA00139,Pine St & 9th Ave,Bellevue Ave & E Pine St
SEA00282,2nd Ave & Spring St,Pier 69 / Alaskan Way & Clay St
SEA00091,2nd Ave & Spring St,Pier 69 / Alaskan Way & Clay St
SEA00495,NE 42nd St & University Way NE,NE 42nd St & University Way NE
SEA00182,2nd Ave & Spring St,2nd Ave & Spring St
SEA00092,Pier 69 / Alaskan Way & Clay St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
SEA00346,City Hall / 4th Ave & James St,Republican St & Westlake Ave N
SEA00306,Bellevue Ave & E Pine St,E Harrison St & Broadway Ave E
SEA00426,3rd Ave & Broad St,2nd Ave & Pine St
SEA00091,Pier 69 / Alaskan Way & Clay St,2nd Ave & Spring St
SEA00398,Pier 69 / Alaskan Way & Clay St,2nd Ave & Spring St
SEA00389,Summit Ave E & E Republican St,Summit Ave & E Denny Way
SEA00320,Union St & 4th Ave,PATH / 9th Ave & Westlake Ave
SEA00190,6th Ave & Blanchard St,1st Ave & Marion St
SEA00453,2nd Ave & Pine St,PATH / 9th Ave & Westlake Ave
SEA00180,Pier 69 / Alaskan Way & Clay St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
SEA00118,2nd Ave & Vine St,Dexter Ave N & Aloha St
SEA00082,Broadway and E Denny Way,Summit Ave & E Denny Way
SEA00230,2nd Ave & Vine St,Westlake Ave & 6th Ave
SEA00059,Republican St & Westlake Ave N,Union St & 4th Ave
SEA00087,Pine St & 9th Ave,Terry Ave & Stewart St
SEA00182,2nd Ave & Spring St,6th Ave S & S King St
SEA00166,Cal Anderson Park / 11th Ave & Pine St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00061,E Blaine St & Fairview Ave E,Mercer St & 9th Ave N
SEA00448,2nd Ave & Pine St,City Hall / 4th Ave & James St
SEA00196,2nd Ave & Pine St,City Hall / 4th Ave & James St
SEA00233,E Blaine St & Fairview Ave E,Dexter Ave N & Aloha St
SEA00200,Republican St & Westlake Ave N,Eastlake Ave E & E Allison St
SEA00268,15th Ave NE & NE 40th St,E Pine St & 16th Ave
SEA00023,Westlake Ave & 6th Ave,E Blaine St & Fairview Ave E
SEA00118,Dexter Ave N & Aloha St,Republican St & Westlake Ave N
SEA00150,2nd Ave & Blanchard St,Pier 69 / Alaskan Way & Clay St
SEA00388,2nd Ave & Blanchard St,Pier 69 / Alaskan Way & Clay St
SEA00075,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Key Arena / 1st Ave N & Harrison St
SEA00422,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Key Arena / 1st Ave N & Harrison St
SEA00464,E Pine St & 16th Ave,E Harrison St & Broadway Ave E
SEA00410,Cal Anderson Park / 11th Ave & Pine St,PATH / 9th Ave & Westlake Ave
SEA00274,Occidental Park / Occidental Ave S & S Washington St,E Pine St & 16th Ave
SEA00172,Republican St & Westlake Ave N,1st Ave & Marion St
SEA00137,PATH / 9th Ave & Westlake Ave,2nd Ave & Blanchard St
SEA00139,Bellevue Ave & E Pine St,2nd Ave & Pine St
SEA00057,12th Ave & E Denny Way,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
SEA00082,Summit Ave & E Denny Way,E Pine St & 16th Ave
SEA00404,2nd Ave & Pine St,Key Arena / 1st Ave N & Harrison St
SEA00224,NE 42nd St & University Way NE,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE
SEA00154,9th Ave N & Mercer St,E Harrison St & Broadway Ave E
SEA00197,Thomas St & 5th Ave N,2nd Ave & Pine St
SEA00461,Broadway and E Denny Way,Bellevue Ave & E Pine St
SEA00284,Occidental Park / Occidental Ave S & S Washington St,Pier 69 / Alaskan Way & Clay St
SEA00059,Union St & 4th Ave,Occidental Park / Occidental Ave S & S Washington St
SEA00305,6th Ave & Blanchard St,Lake Union Park / Valley St & Boren Ave N
SEA00433,REI / Yale Ave N & John St,E Blaine St & Fairview Ave E
SEA00206,REI / Yale Ave N & John St,E Blaine St & Fairview Ave E
SEA00438,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St
SEA00219,9th Ave N & Mercer St,Key Arena / 1st Ave N & Harrison St
SEA00023,E Blaine St & Fairview Ave E,Occidental Park / Occidental Ave S & S Washington St
SEA00079,6th Ave & Blanchard St,Union St & 4th Ave
SEA00437,PATH / 9th Ave & Westlake Ave,2nd Ave & Spring St
SEA00032,12th Ave & E Denny Way,Cal Anderson Park / 11th Ave & Pine St
SEA00414,Lake Union Park / Valley St & Boren Ave N,Lake Union Park / Valley St & Boren Ave N
SEA00209,9th Ave N & Mercer St,Westlake Ave & 6th Ave
SEA00297,6th Ave & Blanchard St,Summit Ave E & E Republican St
SEA00399,Seattle University / E Columbia St & 12th Ave,6th Ave S & S King St
SEA00478,15th Ave NE & NE 40th St,Key Arena / 1st Ave N & Harrison St
SEA00233,Dexter Ave N & Aloha St,2nd Ave & Vine St
SEA00115,2nd Ave & Vine St,2nd Ave & Pine St
SEA00271,NE 47th St & 12th Ave NE,NE 47th St & 12th Ave NE
SEA00285,15th Ave E & E Thomas St,E Pine St & 16th Ave
SEA00309,NE Pacific St/UW Medical Center,NE 47th St & 12th Ave NE
SEA00285,E Pine St & 16th Ave,15th Ave E & E Thomas St
SEA00235,Lake Union Park / Valley St & Boren Ave N,Eastlake Ave E & E Allison St
SEA00041,PATH / 9th Ave & Westlake Ave,6th Ave & Blanchard St
SEA00044,2nd Ave & Vine St,Union St & 4th Ave
SEA00158,15th Ave E & E Thomas St,Cal Anderson Park / 11th Ave & Pine St
SEA00215,Terry Ave & Stewart St,Dexter Ave N & Aloha St
SEA00309,NE 47th St & 12th Ave NE,E Harrison St & Broadway Ave E
SEA00424,15th Ave E & E Thomas St,12th Ave & E Mercer St
SEA00365,3rd Ave & Broad St,PATH / 9th Ave & Westlake Ave
SEA00234,Westlake Ave & 6th Ave,1st Ave & Marion St
SEA00349,Eastlake Ave E & E Allison St,Lake Union Park / Valley St & Boren Ave N
SEA00091,2nd Ave & Spring St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
SEA00398,2nd Ave & Spring St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
SEA00152,Westlake Ave & 6th Ave,Union St & 4th Ave
SEA00080,7th Ave & Union St,E Blaine St & Fairview Ave E
SEA00407,Lake Union Park / Valley St & Boren Ave N,E Blaine St & Fairview Ave E
SEA00309,E Harrison St & Broadway Ave E,Seattle University / E Columbia St & 12th Ave
SEA00253,UW Intramural Activities Building,NE Pacific St/UW Medical Center
SEA00284,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00263,Harvard Ave & E Pine St,Broadway and E Denny Way
SEA00480,Harvard Ave & E Pine St,Broadway and E Denny Way
SEA00377,PATH / 9th Ave & Westlake Ave,2nd Ave & Vine St
SEA00491,Union St & 4th Ave,1st Ave & Marion St
SEA00465,Westlake Ave & 6th Ave,Pier 69 / Alaskan Way & Clay St
SEA00429,Westlake Ave & 6th Ave,Pier 69 / Alaskan Way & Clay St
SEA00472,Lake Union Park / Valley St & Boren Ave N,Union St & 4th Ave
SEA00349,Lake Union Park / Valley St & Boren Ave N,Key Arena / 1st Ave N & Harrison St
SEA00166,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00437,2nd Ave & Spring St,9th Ave N & Mercer St
SEA00351,9th Ave N & Mercer St,Westlake Ave & 6th Ave
SEA00476,2nd Ave & Blanchard St,2nd Ave & Spring St
SEA00464,E Harrison St & Broadway Ave E,Broadway and E Denny Way
SEA00154,E Harrison St & Broadway Ave E,Broadway and E Denny Way
SEA00172,1st Ave & Marion St,1st Ave & Marion St
SEA00459,E Harrison St & Broadway Ave E,Westlake Ave & 6th Ave
SEA00306,E Harrison St & Broadway Ave E,Westlake Ave & 6th Ave
SEA00417,Key Arena / 1st Ave N & Harrison St,Lake Union Park / Valley St & Boren Ave N
SEA00460,Cal Anderson Park / 11th Ave & Pine St,Summit Ave & E Denny Way
SEA00158,Cal Anderson Park / 11th Ave & Pine St,12th Ave & E Mercer St
SEA00446,Summit Ave E & E Republican St,Key Arena / 1st Ave N & Harrison St
SEA00495,NE 42nd St & University Way NE,NE Pacific St/UW Medical Center
SEA00309,Seattle University / E Columbia St & 12th Ave,6th Ave & Blanchard St
SEA00179,PATH / 9th Ave & Westlake Ave,PATH / 9th Ave & Westlake Ave
SEA00152,Union St & 4th Ave,Republican St & Westlake Ave N
SEA00351,Westlake Ave & 6th Ave,Thomas St & 5th Ave N
SEA00365,PATH / 9th Ave & Westlake Ave,PATH / 9th Ave & Westlake Ave
SEA00148,Union St & 4th Ave,Westlake Ave & 6th Ave
SEA00112,9th Ave N & Mercer St,Pier 69 / Alaskan Way & Clay St
SEA00437,9th Ave N & Mercer St,Pier 69 / Alaskan Way & Clay St
SEA00059,Occidental Park / Occidental Ave S & S Washington St,2nd Ave & Spring St
SEA00001,Occidental Park / Occidental Ave S & S Washington St,Occidental Park / Occidental Ave S & S Washington St
SEA00074,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00015,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00023,Occidental Park / Occidental Ave S & S Washington St,3rd Ave & Broad St
SEA00475,Occidental Park / Occidental Ave S & S Washington St,3rd Ave & Broad St
SEA00209,Westlake Ave & 6th Ave,6th Ave S & S King St
SEA00451,Occidental Park / Occidental Ave S & S Washington St,2nd Ave & Spring St
SEA00338,Key Arena / 1st Ave N & Harrison St,2nd Ave & Vine St
SEA00256,Westlake Ave & 6th Ave,1st Ave & Marion St
SEA00104,PATH / 9th Ave & Westlake Ave,2nd Ave & Vine St
SEA00191,3rd Ave & Broad St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St
SEA00030,3rd Ave & Broad St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St
SEA00039,6th Ave S & S King St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
SEA00039,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2nd Ave & Vine St
SEA00332,Seattle University / E Columbia St & 12th Ave,PATH / 9th Ave & Westlake Ave
SEA00167,E Pine St & 16th Ave,Harvard Ave & E Pine St
SEA00021,2nd Ave & Vine St,Westlake Ave & 6th Ave
SEA00175,Cal Anderson Park / 11th Ave & Pine St,2nd Ave & Vine St
SEA00060,Cal Anderson Park / 11th Ave & Pine St,NE 47th St & 12th Ave NE
SEA00480,Broadway and E Denny Way,Cal Anderson Park / 11th Ave & Pine St
SEA00424,12th Ave & E Mercer St,Cal Anderson Park / 11th Ave & Pine St
SEA00275,E Pine St & 16th Ave,Union St & 4th Ave
SEA00158,12th Ave & E Mercer St,Summit Ave & E Denny Way
SEA00478,Key Arena / 1st Ave N & Harrison St,Republican St & Westlake Ave N
SEA00494,NE Pacific St/UW Medical Center,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE
SEA00461,Bellevue Ave & E Pine St,Westlake Ave & 6th Ave
SEA00475,3rd Ave & Broad St,PATH / 9th Ave & Westlake Ave
SEA00087,Terry Ave & Stewart St,Terry Ave & Stewart St
SEA00364,Summit Ave E & E Republican St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St
SEA00394,E Pine St & 16th Ave,2nd Ave & Vine St
SEA00234,1st Ave & Marion St,Pier 69 / Alaskan Way & Clay St
SEA00268,E Pine St & 16th Ave,1st Ave & Marion St
SEA00258,Harvard Ave & E Pine St,Bellevue Ave & E Pine St
SEA00162,Harvard Ave & E Pine St,Bellevue Ave & E Pine St
SEA00411,E Pine St & 16th Ave,Westlake Ave & 6th Ave
SEA00081,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,2nd Ave & Spring St
SEA00284,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St
SEA00402,NE 42nd St & University Way NE,NE Pacific St/UW Medical Center
SEA00403,15th Ave E & E Thomas St,Pine St & 9th Ave
