status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
614855718638584_839074829550004,video,5/29/2018 1:12,52,2,7,52,0,0,0,0,0
614855718638584_839070946217059,video,5/29/2018 1:10,180,392,230,130,49,0,1,0,0
614855718638584_839011139556373,photo,5/28/2018 23:36,24,0,0,24,0,0,0,0,0
614855718638584_838981406226013,photo,5/28/2018 22:51,8,0,0,7,1,0,0,0,0
614855718638584_838977986226355,photo,5/28/2018 22:46,19,1,0,19,0,0,0,0,0
614855718638584_838967159560771,photo,5/28/2018 22:32,24,0,0,24,0,0,0,0,0
614855718638584_838389646285189,photo,5/28/2018 7:54,18,0,0,17,0,1,0,0,0
614855718638584_838374522953368,photo,5/28/2018 7:39,13,0,0,13,0,0,0,0,0
614855718638584_838354282955392,photo,5/28/2018 7:16,14,0,0,12,1,1,0,0,0
614855718638584_838344136289740,video,5/28/2018 7:03,33,0,9,33,0,0,0,0,0
614855718638584_838173036306850,photo,5/28/2018 2:41,30,1,2,30,0,0,0,0,0
614855718638584_838147212976099,photo,5/28/2018 2:11,25,0,1,25,0,0,0,0,0
614855718638584_838128642977956,photo,5/28/2018 1:50,20,0,0,20,0,0,0,0,0
614855718638584_838099539647533,photo,5/28/2018 1:17,16,1,0,16,0,0,0,0,0
614855718638584_838091852981635,video,5/28/2018 1:08,54,0,7,54,0,0,0,0,0
614855718638584_838089589648528,video,5/28/2018 1:06,206,367,236,132,71,2,1,0,0
614855718638584_837440546380099,photo,5/27/2018 8:16,18,0,0,17,0,1,0,0,0
614855718638584_837423156381838,photo,5/27/2018 7:59,14,0,1,14,0,0,0,0,0
614855718638584_837399253050895,photo,5/27/2018 7:37,18,1,1,18,0,0,0,0,0
614855718638584_837375569719930,photo,5/27/2018 7:14,28,1,0,28,0,0,0,0,0
614855718638584_837363239721163,video,5/27/2018 7:04,63,0,9,63,0,0,0,0,0
614855718638584_837352886388865,video,5/27/2018 7:02,176,401,201,117,58,0,0,0,1
614855718638584_837253669732120,photo,5/27/2018 4:24,23,1,0,23,0,0,0,0,0
614855718638584_837234943067326,photo,5/27/2018 3:58,12,0,0,12,0,0,0,0,0
614855718638584_837217499735737,status,5/27/2018 3:30,57,0,0,56,1,0,0,0,0
614855718638584_837187116405442,photo,5/27/2018 2:48,26,2,0,26,0,0,0,0,0
614855718638584_837160356408118,photo,5/27/2018 2:19,15,1,0,15,0,0,0,0,0
614855718638584_837146019742885,photo,5/27/2018 2:02,19,0,0,19,0,0,0,0,0
614855718638584_837130839744403,photo,5/27/2018 1:47,41,2,2,41,0,0,0,0,0
614855718638584_837112036412950,photo,5/27/2018 1:26,11,0,0,11,0,0,0,0,0
614855718638584_837100506414103,photo,5/27/2018 1:14,18,0,1,18,0,0,0,0,0
614855718638584_837016869755800,photo,5/26/2018 23:20,29,0,0,29,0,0,0,0,0
614855718638584_837002569757230,photo,5/26/2018 23:01,8,0,0,7,1,0,0,0,0
614855718638584_836987539758733,photo,5/26/2018 22:40,19,0,0,19,0,0,0,0,0
614855718638584_836970659760421,photo,5/26/2018 22:16,39,1,0,39,0,0,0,0,0
614855718638584_836959346428219,video,5/26/2018 22:00,25,1,3,25,0,0,0,0,0
614855718638584_836452376478916,photo,5/26/2018 8:53,41,2,1,41,0,0,0,0,0
614855718638584_836429916481162,photo,5/26/2018 8:35,17,0,0,17,0,0,0,0,0
