status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
246675545449582_1649696485147474,video,4/22/2018 6:00,529,512,262,432,92,3,1,1,0
246675545449582_1649426988507757,photo,4/21/2018 22:45,150,0,0,150,0,0,0,0,0
246675545449582_1648730588577397,video,4/21/2018 6:17,227,236,57,204,21,1,1,0,0
246675545449582_1648576705259452,photo,4/21/2018 2:29,111,0,0,111,0,0,0,0,0
246675545449582_1645700502213739,photo,4/18/2018 3:22,213,0,0,204,9,0,0,0,0
246675545449582_1645650162218773,photo,4/18/2018 2:14,217,6,0,211,5,1,0,0,0
246675545449582_1645564175560705,video,4/18/2018 0:24,503,614,72,418,70,10,2,0,3
246675545449582_1644824665634656,video,4/17/2018 7:42,295,453,53,260,32,1,1,0,1
246675545449582_1644655795651543,photo,4/17/2018 3:33,203,1,0,198,5,0,0,0,0
246675545449582_1638788379571618,photo,4/11/2018 4:53,170,9,1,167,3,0,0,0,0
246675545449582_1637655039684952,photo,4/10/2018 1:01,210,2,3,202,7,1,0,0,0
246675545449582_1636730006444122,photo,4/9/2018 2:06,222,4,0,213,5,4,0,0,0
246675545449582_1635846033199186,photo,4/8/2018 5:10,313,4,2,305,6,2,0,0,0
246675545449582_1635730986544024,photo,4/8/2018 2:23,209,4,0,200,8,1,0,0,0
246675545449582_1632874756829647,photo,4/5/2018 9:23,346,11,0,335,10,1,0,0,0
246675545449582_1628507150599741,video,4/1/2018 5:16,332,100,30,303,23,1,5,0,0
246675545449582_1626584134125376,video,3/30/2018 8:28,135,256,79,117,18,0,0,0,0
246675545449582_1622470701203386,video,3/26/2018 8:28,150,173,47,132,16,1,0,1,0
246675545449582_1619188648198258,video,3/23/2018 7:09,221,166,36,192,28,0,1,0,0
246675545449582_1617858078331315,photo,3/22/2018 1:25,152,2,0,149,3,0,0,0,0
246675545449582_1617109651739491,photo,3/21/2018 8:40,234,15,1,221,12,1,0,0,0
246675545449582_1617051285078661,photo,3/21/2018 7:46,227,7,1,217,7,2,1,0,0
246675545449582_1615645795219210,photo,3/20/2018 1:54,98,0,0,96,0,2,0,0,0
246675545449582_1615629888554134,video,3/20/2018 1:28,18,0,0,18,0,0,0,0,0
246675545449582_1615585301891926,photo,3/20/2018 0:15,102,0,0,100,0,2,0,0,0
246675545449582_1615510251899431,video,3/19/2018 22:34,37,0,1,37,0,0,0,0,0
246675545449582_1612677855516004,video,3/17/2018 8:07,75,36,14,70,5,0,0,0,0
246675545449582_1612652492185207,video,3/17/2018 7:47,90,78,9,85,5,0,0,0,0
246675545449582_1607114469405676,photo,3/12/2018 5:51,145,9,0,138,7,0,0,0,0
246675545449582_1603834916400298,video,3/9/2018 7:45,253,300,31,229,22,1,1,0,0
246675545449582_1603743213076135,photo,3/9/2018 5:55,85,0,0,81,2,2,0,0,0
246675545449582_1601965753253881,video,3/7/2018 13:10,45,14,0,40,5,0,0,0,0
246675545449582_1601596129957510,photo,3/7/2018 6:13,92,0,0,85,4,2,1,0,0
246675545449582_1601516779965445,photo,3/7/2018 4:46,125,1,0,116,8,1,0,0,0
246675545449582_1599664246817365,photo,3/5/2018 8:32,119,4,0,116,3,0,0,0,0
246675545449582_1599393216844468,photo,3/5/2018 2:48,293,8,0,281,11,1,0,0,0
246675545449582_1596564337127356,video,3/2/2018 9:55,128,137,26,110,16,2,0,0,0
246675545449582_1594428064007650,photo,2/28/2018 8:19,84,15,13,78,5,1,0,0,0
246675545449582_1594137564036700,photo,2/28/2018 1:43,66,11,6,61,4,1,0,0,0
246675545449582_1592459934204463,video,2/26/2018 8:50,171,292,28,150,19,1,1,0,0
246675545449582_1591545580962565,video,2/25/2018 10:13,90,72,23,79,10,1,0,0,0
246675545449582_1587015831415540,video,2/21/2018 0:19,139,39,9,121,16,1,1,0,0
246675545449582_1585003828283407,video,2/19/2018 0:11,236,181,21,201,33,0,1,0,1
246675545449582_1584252028358587,video,2/18/2018 7:15,225,210,34,193,30,0,2,0,0
246675545449582_1583900568393733,photo,2/17/2018 22:30,275,12,0,260,11,4,0,0,0
